Sales Organization;Item (SD);Sales Document;Status;Status;Sales Document Type;Sold-to party;Name 1;Material;Description;Plant;Confirmed Quantity;Order Quantity;Unit of measure;Delivery Date;Ship-to party;Ship-To Name;Purchase order no.;Goods Issue Date
A131;40;137245103;Partially delivered;B;ZKB;802953;MERSAGRO SA;00099069588;QUINTALXTRA BTLHPE4X5L ARG;C077;60,000;60,000;L;06/09/2021;802953;MERSAGRO SA;C0000006590 Z11;03/09/2021
A131;50;137245103;Not delivered;A;ZKB;802953;MERSAGRO SA;00097082124;MORATA ACE BTLHPE4X5L ARG;C077;200,000;200,000;L;02/09/2022;802953;MERSAGRO SA;C0000006590 Z11;01/09/2022
A131;60;137245103;Not delivered;A;ZKB;802953;MERSAGRO SA;00000115146;SPIDER PCHALM10X5X0.10KG ARG;C077;20,000;20,000;KG;22/09/2021;802953;MERSAGRO SA;C0000006590 Z11;21/09/2021
A131;10;137245102;Not delivered;A;ZKB;1108872;AGRO LAJITAS SA;00099074918;TOCONEXTRA BTLPET12X1L ARG;C077;204,000;204,000;L;30/12/2021;1843007;AGRO LAJITAS SA;C0000006594 Z11;28/12/2021
A131;10;137245073;Not delivered;A;ZKB;1108872;AGRO LAJITAS SA;00099074918;TOCONEXTRA BTLPET12X1L ARG;C077;408,000;408,000;L;30/12/2021;1108872;AGRO LAJITAS SA;C0000006593 Z11;28/12/2021
A131;10;137245072;Not delivered;A;ZKB;827374;DASER AGRO S.A.;00011097385;EXPEDITION BTLCOX4X5L ARG;C077;15.000,000;15.000,000;L;30/11/2021;827374;DASER AGRO S.A.;C0000006597 TRANSFER;29/11/2021
A131;10;137244725;Not delivered;A;ZOR;827369;TERRAMAR JV S.A.;00097081703;BRV54321E BU E3 SOY SO BLK1KG AR;C336;183.860,000;183.860,000;KG;09/09/2021;10012736;TERRAMAR S.A;KILOS DE SOJA PRODUC;08/09/2021
A131;10;137244718;Not delivered;A;ZOR;711987;MORERO Y CIA SACIAI Y F;00097081703;BRV54321E BU E3 SOY SO BLK1KG AR;C336;106.000,000;106.000,000;KG;09/09/2021;711987;MORERO Y CIA SACIAI Y F;KILOS DE SOJA PRODUC;08/09/2021
A131;20;137244718;Not delivered;A;ZOR;711987;MORERO Y CIA SACIAI Y F;00097081707;BRV54621SE BU E3 SOY SO BLK1KG AR;C336;327.260,000;327.260,000;KG;09/09/2021;711987;MORERO Y CIA SACIAI Y F;KILOS DE SOJA PRODUC;08/09/2021
A131;10;137244710;Not delivered;A;ZOR;1159304;AGROIDEAS SA;00097081707;BRV54621SE BU E3 SOY SO BLK1KG AR;C336;190.180,000;190.180,000;KG;09/09/2021;10027676;AGROIDEAS SA;KILOS DE SOJA PRODUC;08/09/2021
A131;10;137244708;Not delivered;A;ZOR;827374;DASER AGRO S.A.;00097081707;BRV54621SE BU E3 SOY SO BLK1KG AR;C336;162.140,000;162.140,000;KG;09/09/2021;827374;DASER AGRO S.A.;KILOS DE SOJA PRODUC;08/09/2021
A131;20;137244708;Not delivered;A;ZOR;827374;DASER AGRO S.A.;00097081721;BRV55021SE BU E3 SOY SO BLK1KG AR;C336;43.820,000;43.820,000;KG;09/09/2021;827374;DASER AGRO S.A.;KILOS DE SOJA PRODUC;08/09/2021
A131;10;137244695;Not delivered;A;ZOR;2344675;CERROS SERV AGRICOLAS SA;00097081707;BRV54621SE BU E3 SOY SO BLK1KG AR;C336;646.980,000;646.980,000;KG;09/09/2021;2408421;CERROS SERV AGRICOLAS SA;KILOS DE SOJA PRODUC;08/09/2021
A131;20;137244695;Not delivered;A;ZOR;2344675;CERROS SERV AGRICOLAS SA;00097081721;BRV55021SE BU E3 SOY SO BLK1KG AR;C336;63.260,000;63.260,000;KG;09/09/2021;2408421;CERROS SERV AGRICOLAS SA;KILOS DE SOJA PRODUC;08/09/2021
A131;10;137244339;Not delivered;A;ZKB;1159304;AGROIDEAS SA;00097050308;PANZERGOLDLS BTLHPE20L ARG;C077;7.200,000;7.200,000;L;30/11/2021;2086026;AGROIDEAS SA;C0000006586 TRANSFER;26/11/2021
A131;10;137244338;Not delivered;A;ZKB;1432385;SEMILLERIA BELTRAMO SA;00097050308;PANZERGOLDLS BTLHPE20L ARG;C077;7.200,000;7.200,000;L;30/11/2021;10011955;SEMILLERIA BELTRAMO SA;C0000006587 TRANSFER;29/11/2021
A131;10;137244335;Not delivered;A;ZKB;711987;MORERO Y CIA SACIAI Y F;00097050308;PANZERGOLDLS BTLHPE20L ARG;C077;7.200,000;7.200,000;L;30/11/2021;2303034;MORERO Y CIA SACIAI Y F;C0000006585 TRANSFER;29/11/2021
A131;10;137244154;Not delivered;A;ZOR;683242;ENRIQUE M BAYA CASAL SA;00097050308;PANZERGOLDLS BTLHPE20L ARG;C077;21.600,000;21.600,000;L;06/09/2021;2284532;ENRIQUE M BAYA CASAL GUALEGUAY;C0000006583 Z05 GUAL;03/09/2021
A131;10;137244102;Not delivered;A;ZKB;10003425;AGRO LORETO SA;00011097385;EXPEDITION BTLCOX4X5L ARG;C077;500,000;500,000;L;30/11/2021;10007206;AGRO LORETO SA;C0000006581 TRANSFER;29/11/2021
A131;30;137244102;Not delivered;A;ZKB;10003425;AGRO LORETO SA;00000298079;INTREPID240SC BTLHPE4X5L ARG;C077;500,000;500,000;L;30/11/2021;10007206;AGRO LORETO SA;C0000006581 TRANSFER;29/11/2021
A131;40;137244102;Not delivered;A;ZKB;10003425;AGRO LORETO SA;00099069588;QUINTALXTRA BTLHPE4X5L ARG;C077;1.500,000;1.500,000;L;30/11/2021;10007206;AGRO LORETO SA;C0000006581 TRANSFER;29/11/2021
A131;10;137244059;Not delivered;A;ZKB;1233452;DON ITALO SA;00000120534;PACTO PCHALM10X5X0.072KG ARG;C077;201,600;201,600;KG;26/10/2021;1233452;DON ITALO SA;C0000006577 TRANSFER;25/10/2021
A131;10;137244057;Not delivered;A;ZKB;1233452;DON ITALO SA;00099069588;QUINTALXTRA BTLHPE4X5L ARG;C077;1.000,000;1.000,000;L;30/11/2021;1233452;DON ITALO SA;C0000006576 TRANSFER;29/11/2021
A131;10;137243870;Not delivered;A;ZOR;1245484;MSU SA;00099074918;TOCONEXTRA BTLPET12X1L ARG;C077;24,000;24,000;L;02/09/2021;1912475;MSU SA;C0000006572 Z11;01/09/2021
A131;20;137243870;Not delivered;A;ZOR;1245484;MSU SA;00097063787;PASTARGOLD BTLHPE10L ARG;C077;20,000;20,000;L;02/09/2021;1912475;MSU SA;C0000006572 Z11;01/09/2021
A131;10;137243784;Not delivered;A;ZKB;1116165;NAIKA SA;00097059701;ENLIST BTLHPE20L ARG;C077;2.400,000;2.400,000;L;30/11/2021;1116165;NAIKA SA;C0000006569 TRANSFER;26/11/2021
A131;10;137243737;Not delivered;A;ZKB;1148049;PAMPA DEL CIELO SRL;00000115146;SPIDER PCHALM10X5X0.10KG ARG;C077;260,000;260,000;KG;28/09/2021;1148049;PAMPA DEL CIELO SRL;C0000006566 TRANSFER;24/09/2021
A131;10;137243734;Not delivered;A;ZKB;10017153;DARIO MIGUEL TURLETTI;00000115146;SPIDER PCHALM10X5X0.10KG ARG;C077;250,000;250,000;KG;28/09/2021;10017522;DARIO MIGUEL TURLETTI;C0000006564 TRANSFER;24/09/2021
A131;10;137243733;Not delivered;A;ZKB;2400491;GRUPO ABS S.R.L.;00000115146;SPIDER PCHALM10X5X0.10KG ARG;C077;150,000;150,000;KG;28/09/2021;2400491;GRUPO ABS S.R.L.;C0000006565 TRANSFER;24/09/2021
A131;10;137243147;Not delivered;A;ZKB;827374;DASER AGRO S.A.;00097023522;LOYANT BTLCOX20L ARG;C077;3.980,000;3.980,000;L;08/10/2021;827374;DASER AGRO S.A.;C0000006560 TRANSFER;07/10/2021
A131;20;137243147;Not delivered;A;ZKB;827374;DASER AGRO S.A.;00011009623;FIGHTERPLUS BTLCOX20X0.5L ARG;C077;500,000;500,000;L;30/11/2021;827374;DASER AGRO S.A.;C0000006560 TRANSFER;29/11/2021
A131;40;137243147;Not delivered;A;ZKB;827374;DASER AGRO S.A.;00000120534;PACTO PCHALM10X5X0.072KG ARG;C077;288,000;288,000;KG;25/10/2021;827374;DASER AGRO S.A.;C0000006560 TRANSFER;22/10/2021
