Delivery;Item;Reference document;Delivery Type;Sold-to party;Name of sold-to party;Material;Description;Plant;Delivery quantity;Sales unit;Deliv. date(From/to);Ship-to party;Name of the ship-to party;Sales Organization;Goods Issue Date
858651250;10;137185273;LF;2346120;SURGEN SRL;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;25;ZPB;07/09/2021;2352105;SURGEN SRL;A131;31/08/2021
858651251;10;137185317;LF;10027251;AGROTRADE S.R.L.;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;20;ZPB;07/09/2021;10017702;SURGEN SRL;A131;31/08/2021
858651252;10;137188992;LF;10027206;LA ANATILDE SRL;00097079282;BRV8472PWUN C17 PWU COR CT CMQL BG80UKAR;C049;100;ZPB;07/09/2021;10027206;LA ANATILDE SRL;A131;31/08/2021
858651253;10;137214603;LF;750105;EL ALAMO SRL;00097079283;BRV8472PWUN C18 PWU COR CT CMQL BG80UKAR;C049;3;ZPB;06/09/2021;750105;EL ALAMO SRL;A131;02/09/2021
858651274;10;4230334934;ZLC;423753;AGRICOLA LOBERT LIMITADA;00000113739;TORDON101 BTLHPE12X1L CHL;L026;504,000;L;09/09/2021;423753;AGRICOLA LOBERT LIMITADA;A133;02/09/2021
858651279;10;4230334935;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00000113739;TORDON101 BTLHPE12X1L CHL;L026;48,000;L;09/09/2021;10000968;MARTINEZ Y VALDIVIESO SA;A133;02/09/2021
858651279;20;4230334935;ZLC;1464822;MARTINEZ Y VALDIVIESO SA;00000337393;GALANTPLUSR BTLCOX20L CHL;L026;100,000;L;09/09/2021;10000968;MARTINEZ Y VALDIVIESO SA;A133;02/09/2021
858651316;10;137139641;LF;750105;EL ALAMO SRL;00097079256;BRV8472PWU R17 PWU COR CT CMQL BG80UK AR;C049;10;ZPB;06/09/2021;750105;EL ALAMO SRL;A131;02/09/2021
858651317;10;137148549;LF;1108872;AGRO LAJITAS SA;00097079283;BRV8472PWUN C18 PWU COR CT CMQL BG80UKAR;C049;34;ZPB;06/09/2021;1843007;AGRO LAJITAS SA;A131;31/08/2021
858651318;10;137150234;LF;422082;DISTRIBUIDORA ROYJO SRL;00097079283;BRV8472PWUN C18 PWU COR CT CMQL BG80UKAR;C049;530;ZPB;06/09/2021;2245367;DISTRIBUIDORA ROYJO SRL;A131;02/09/2021
858651321;10;137150270;LF;698907;AGRO MATORRALES SA;00097079283;BRV8472PWUN C18 PWU COR CT CMQL BG80UKAR;C049;3;ZPB;06/09/2021;698907;AGRO MATORRALES SA;A131;02/09/2021
858651323;10;137160546;LF;421706;AGROEMPRESA COLON SA;00097079283;BRV8472PWUN C18 PWU COR CT CMQL BG80UKAR;C049;343;ZPB;06/09/2021;421706;AGROEMPRESA COLON SA;A131;02/09/2021
858651323;20;137160546;LF;421706;AGROEMPRESA COLON SA;00097079260;BRV8472PWUN SPR PWU COR CT CMQL BG80UKAR;C049;124;ZPB;06/09/2021;421706;AGROEMPRESA COLON SA;A131;02/09/2021
858651325;10;137164138;LF;10004407;INVERSORA BERDAL SA;00097079255;BRV8472PWUN R16 PWU COR CT CMQL BG80UKAR;C049;76;ZPB;07/09/2021;1843011;AGRO LAJITAS SA;A131;31/08/2021
858651326;10;137171999;LF;750105;EL ALAMO SRL;00097079283;BRV8472PWUN C18 PWU COR CT CMQL BG80UKAR;C049;143;ZPB;06/09/2021;750105;EL ALAMO SRL;A131;02/09/2021
858651707;10;137126124;LF;679010;TECNOCALCHIN SRL;00097079256;BRV8472PWU R17 PWU COR CT CMQL BG80UK AR;C049;336;ZPB;08/09/2021;679010;TECNOCALCHIN SRL;A131;06/09/2021
858651713;10;137126125;LF;1432385;SEMILLERIA BELTRAMO SA;00097079282;BRV8472PWU C17 PWU COR CT CMQL BG80UK AR;C049;300;ZPB;08/09/2021;1432385;SEMILLERIA BELTRAMO SA;A131;06/09/2021
